Burn Date,Air District,County,Air Basin,Acres Requested,Acres Burned,Latitude,Longitude,Legal Location,Agency,Burn Unit,Burn Type,Fuel Type,Total Tons
1/1/2020,El Dorado County AQMD,El Dorado,Mountain Counties,2,0.5,38.61,-120.504,"T10N &11N R13E S23, 33 & 3,4,5,8,9,10,17, 18",Leoni Meadows Camp,Forest Management Pile Burning,Hand Pile,Slash,1.5
1/1/2020,El Dorado County AQMD,El Dorado,Mountain Counties,18,1.5,38.611,-120.504,"T10N &11N R13E S23, 33 & 3,4,5,8,9,10,17, 18",Leoni Meadows Camp,LMC Understory Burning,Broadcast,Natural,1.5
1/1/2020,Mendocino County AQMD,Mendocino,North Coast,40,40,39.516,-123.754,"T10N &11N R13E S23, 33 & 3,4,5,8,9,10,17, 18",Individual,Allied SMP 19-47 Piles,Machine Pile,Slash,1600
1/2/2020,Amador County APCD,Amador,Mountain Counties,2,1,38.386,-120.649,"T10N &11N R13E S23, 33 & 3,4,5,8,9,10,17, 18",Cal Fire,Pine Acres piles,Hand Pile,Slash,5
1/2/2020,Tehama County APCD,Tehama,Sacramento Valley,12,5,39.909,-122.087,"T10N &11N R13E S23, 33 & 3,4,5,8,9,10,17, 18",US Fish and Wildlife Services,2020-2020 Sac River Rio Vista Piles,Hand Pile,Brush,0.01
1/2/2020,Shasta County AQMD,Shasta,Sacramento Valley,20,10,40.993,-122.454,"T10N &11N R13E S23, 33 & 3,4,5,8,9,10,17, 18",Sierra Pacific Industries,Carr Fire EM,Machine Pile,Slash,42
1/2/2020,Mendocino County AQMD,Mendocino,North Coast,20,20,39.161,-123.327,"T10N &11N R13E S23, 33 & 3,4,5,8,9,10,17, 18",Individual,Corson Ukiah VMP,Broadcast,Natural,240
1/2/2020,Shasta County AQMD,Shasta,Sacramento Valley,20,20,40.783,-122.476,"T10N &11N R13E S23, 33 & 3,4,5,8,9,10,17, 18",Crane Mills,Bohemotash,Machine Pile,Slash,22.2
1/2/2020,Mendocino County AQMD,Mendocino,North Coast,30,30,39.129,-123.216,"T10N &11N R13E S23, 33 & 3,4,5,8,9,10,17, 18",Individual,Cal Fire Laws and Doolan Canyon,Hand Pile,Brush,900
1/2/2020,Mendocino County AQMD,Mendocino,North Coast,40,40,39.516,-123.754,"T10N &11N R13E S23, 33 & 3,4,5,8,9,10,17, 18",Individual,Allied SMP 19-47 Piles,Machine Pile,Slash,1600
1/3/2020,Butte County AQMD,Butte,Sacramento Valley,0.25,0.25,39.742,-121.739,"T10N &11N R13E S23, 33 & 3,4,5,8,9,10,17, 18",CSU Chico Research Foundation,BCCER Prop Management,Hand Pile,Natural,0.425
1/3/2020,Shasta County AQMD,Shasta,Sacramento Valley,2,1,40.483,-122.506,"T10N &11N R13E S23, 33 & 3,4,5,8,9,10,17, 18",Western Shasta Resource Conservation District,China Gulch Fuel Break Unit 8,Hand Pile,Brush,12
1/3/2020,El Dorado County AQMD,El Dorado,Mountain Counties,7,2,38.916,-120.655,"T10N &11N R13E S23, 33 & 3,4,5,8,9,10,17, 18",University of California,C123,Hand Pile,Natural,4
1/3/2020,Shasta County AQMD,Shasta,Sacramento Valley,2,2,40.488,-122.441,"T10N &11N R13E S23, 33 & 3,4,5,8,9,10,17, 18",Western Shasta Resource Conservation District,China Gulch Fuel Break Unit 5,Hand Pile,Brush,36
1/3/2020,Shasta County AQMD,Shasta,Sacramento Valley,5,2,40.993,-122.454,"T10N &11N R13E S23, 33 & 3,4,5,8,9,10,17, 18",Sierra Pacific Industries,Carr Fire EM,Machine Pile,Slash,8.4
1/3/2020,El Dorado County AQMD,El Dorado,Mountain Counties,UNK,3,38.718,-120.563,"T10N &11N R13E S23, 33 & 3,4,5,8,9,10,17, 18",Cal Fire,Sly Park piles,Hand Pile,Slash,9
1/3/2020,Amador County APCD,Amador,Mountain Counties,20,15.5,38.391,-120.968,"T10N &11N R13E S23, 33 & 3,4,5,8,9,10,17, 18",Cal Fire,Rancho Arroyo Seco Piles,Machine Pile,Brush,38.75
1/3/2020,Mendocino County AQMD,Mendocino,North Coast,30,30,39.129,-123.216,"T10N &11N R13E S23, 33 & 3,4,5,8,9,10,17, 18",Individual,Cal Fire Laws and Doolan Canyon,Hand Pile,Brush,900
1/3/2020,Calaveras County APCD,Calaveras,Mountain Counties,40,40,38.247,-120.376,"T8N, R11E, Sec 7, MDBM",US Forest Service,Lakemont Salvage,Machine Pile,Natural,168
1/4/2020,Mendocino County AQMD,Mendocino,North Coast,10,10,38.854,-122.952,"T10N &11N R13E S23, 33 & 3,4,5,8,9,10,17, 18",Individual,B and B piles,Machine Pile,Natural,300
1/4/2020,Amador County APCD,Amador,Mountain Counties,20,12.2,38.391,-120.968,"T10N &11N R13E S23, 33 & 3,4,5,8,9,10,17, 18",Cal Fire,Rancho Arroyo Seco Piles,Machine Pile,Brush,30.5
1/5/2020,Mendocino County AQMD,Mendocino,North Coast,100,100,38.879,-122.912,"T10N &11N R13E S23, 33 & 3,4,5,8,9,10,17, 18",Individual,B and B broadcast,Broadcast,Natural,3000
1/6/2020,Shasta County AQMD,Shasta,Sacramento Valley,2,1,40.488,-122.441,UNK,Western Shasta Resource Conservation District,China Gulch Fuel Break Unit 5,Hand Pile,Brush,18
1/6/2020,Shasta County AQMD,Shasta,Sacramento Valley,2,1,40.483,-122.506,UNK,Western Shasta Resource Conservation District,China Gulch Fuel Break Unit 8,Hand Pile,Brush,12
1/6/2020,Monterey Bay Unified APCD,Monterey,North Central Coast,2,2,36.382,-121.829,UNK,Cal Fire,Palo Colorado Pile 1,Hand Pile,Brush,10.5
1/6/2020,Monterey Bay Unified APCD,Monterey,North Central Coast,2,2,36.387,-121.832,UNK,Cal Fire,Palo Colorado Pile 2,Hand Pile,Brush,10.5
1/6/2020,Shasta County AQMD,Shasta,Sacramento Valley,5,2,40.993,-122.454,UNK,Sierra Pacific Industries,Carr Fire EM,Machine Pile,Slash,8.4
1/6/2020,Mendocino County AQMD,Mendocino,North Coast,30,30,39.161,-123.327,UNK,Individual,Corson Ukiah VMP,Broadcast,Natural,360
1/6/2020,Placer County APCD,Placer,Mountain Counties,50,50,39.067,-120.58,UNK,US Forest Service,Biggie Hand Piles,Hand Pile,Natural,337.5
1/6/2020,Tuolumne County APCD,Tuolumne,Mountain Counties,400,400,37.948,-120.026,UNK,US Forest Service,1N18M,Machine Pile,Slash,3724
1/7/2020,Shasta County AQMD,Shasta,Sacramento Valley,2,0.5,40.483,-122.506,UNK,Western Shasta Resource Conservation District,China Gulch Fuel Break Unit 8,Hand Pile,Brush,6
1/7/2020,El Dorado County AQMD,El Dorado,Mountain Counties,47,1,38.8,-120.147,UNK,US Forest Service,Roadrunner Unit 101,Hand Pile,Natural,5
1/7/2020,El Dorado County AQMD,El Dorado,Mountain Counties,4,2,38.904,-120.658,UNK,University of California,C210,Broadcast,Slash,99
1/7/2020,El Dorado County AQMD,El Dorado,Mountain Counties,2,2,38.718,-120.563,UNK,Cal Fire,Sly Park piles,Hand Pile,Slash,6
1/7/2020,Monterey Bay Unified APCD,Monterey,North Central Coast,2,2,36.386,-121.859,UNK,Cal Fire,Palo Colorado Pile 3,Hand Pile,Brush,10.5
1/7/2020,Monterey Bay Unified APCD,Monterey,North Central Coast,2,2,36.387,-121.865,UNK,Cal Fire,Palo Colorado Pile 4,Hand Pile,Brush,10.5
1/7/2020,Shasta County AQMD,Shasta,Sacramento Valley,2,2,40.497,-122.399,UNK,Western Shasta Resource Conservation District,China Gulch Fuel Break Unit 2,Hand Pile,Brush,108
1/7/2020,Shasta County AQMD,Shasta,Sacramento Valley,5,2,40.993,-122.454,UNK,Sierra Pacific Industries,Carr Fire EM,Machine Pile,Slash,8.4
1/7/2020,Shasta County AQMD,Shasta,Sacramento Valley,5,2,40.856,-122.641,UNK,Sierra Pacific Industries,Carr Fire EM,Machine Pile,Slash,8.4
1/7/2020,Mendocino County AQMD,Mendocino,North Coast,3,3,38.879,-122.912,UNK,Individual,B and B broadcast,Broadcast,Natural,90
1/7/2020,El Dorado County AQMD,El Dorado,Mountain Counties,5,5,38.89,-120.647,UNK,University of California,"C590,670,490",Machine Pile,Slash,11.5
1/7/2020,El Dorado County AQMD,El Dorado,Mountain Counties,20,5,38.637,-120.491,UNK,US Forest Service,NWTF Unit 0038,Hand Pile,Natural,50
1/7/2020,Northern Sierra AQMD,Nevada,Mountain Counties,5,5,39.438,-120.231,UNK,US Forest Service,Sagehen Unit 100,Hand Pile,Slash,80
