BurnName,ShortPermitNum,AgencyGroup,AgencyID,AdministrativeUnit,PileBcst,Acres Max Permitted ,Piles Max Permitted,Lat,Lon,Actual Acres Burned,Act Pile Vol Consumed,ActPiles,PileActVolume,PilePctCons
East Sopris Piles,4,BLM,CVD,"Colo River Valley Office (Glenwood), BLM",p,,30,39.32,-107.02,,3783,30,130,97
Panorama Piles,86,BLM,CVD,"Colo River Valley Office (Glenwood), BLM",p,,1500,39.46,-107.15,,114072.96,1007,118,96
West Divide,180,BLM,CVD,"Colo River Valley Office (Glenwood), BLM",b,400,,39.35,-107.57,350,0,,,
Wapiti Road Piles,234,BLM,CVD,"Colo River Valley Office (Glenwood), BLM",p,,700,39.66,-106.85,,0,,,
Roan Plateau,235,BLM,CVD,"Colo River Valley Office (Glenwood), BLM",b,600,,39.58,-107.98,200,0,,,
Sheep Gulch,236,BLM,CVD,"Colo River Valley Office (Glenwood), BLM",b,705,,39.68,-106.96,170,0,,,
Mee Canyon,51,BLM,GJD,"Grand Junction Office, BLM",p,,200,39.15,-108.94,,5734.8,27,236,90
Lapham Post,158,BLM,GJD,"Grand Junction Office, BLM",b,300,,39.44,-108.72,211,0,,,
Nick Mountain - Bald Mtn Units,174,BLM,GJD,"Grand Junction Office, BLM",b,1200,,39.14,-108.01,377,0,,,
Black Ridge,181,BLM,GJD,"Grand Junction Office, BLM",b,80,,39.08,-108.79,77,0,,,
East Thompson,308,BLM,GJD,"Grand Junction Office, BLM",p,,200,38.86,-108.59,,12744,60,236,90
Cabin Ridge,309,BLM,GJD,"Grand Junction Office, BLM",p,,300,39.09,-108.27,,23541,105,236,95
Parker Basin,313,BLM,GJD,"Grand Junction Office, BLM",p,,75,39.14,-107.96,,0,,,
Dolores River South,320,BLM,GJD,"Grand Junction Office, BLM",p,,80,38.50,-108.89,,0,,,
Indian Creek Gunnison,205,BLM,GND,"Gunnison Office, BLM",b,400,,38.32,-107.18,86,0,,,
Crystal Creek Piles,268,BLM,GND,"Gunnison Office, BLM",p,,200,38.16,-107.06,,82720,200,470,88
Indian Creek Piles BLM,290,BLM,GND,"Gunnison Office, BLM",p,,3,38.25,-107.13,,52606.5,3,20630,85
Willow Creek Hay Bales,298,BLM,GND,"Gunnison Office, BLM",p,,2,38.38,-107.06,,4000,1,4000,100
Little Buffalo,71,BLM,KRD,"Kremmling Office, BLM",p,,3,40.44,-106.20,,20146.65,3,7069,95
Reed Creed,72,BLM,KRD,"Kremmling Office, BLM",p,,20,40.06,-106.00,,167832,35,4995,96
Walden Hollow,76,BLM,KRD,"Kremmling Office, BLM",p,,50,40.11,-105.87,,96431.58,27,3682,97
Independence Mountain,77,BLM,KRD,"Kremmling Office, BLM",p,,1487,40.95,-106.45,,1823971.5,1094,1755,95
Fisher Draw,78,BLM,KRD,"Kremmling Office, BLM",b,1500,,40.92,-106.36,,0,,,
Dry Gulch,79,BLM,KRD,"Kremmling Office, BLM",b,1300,,39.91,-106.59,,0,,,
