BurnName,ShortPermitNum,AgencyGroup,AgencyID,AdministrativeUnit,PileBcst,Acres Max Permitted ,Piles Max Permitted,Actual Acres Burned,Act Pile Vol Consumed,ActPiles,PileActVolume,PilePctCons,Lat,Lon,TWN,TWND,RNG,RNGD,SECTION
Hall PA4 Unit 5 Stand 3,51,BCOS,BOX,Boulder County Open Space,p,,250,,32656,130,314,80,,,3,N,71,W,22
Reynolds Ranch,111,BCOS,BOX,Boulder County Open Space,p,,214,,7772,29,335,80,,,1,S,72,W,19
Heil Log Decks,112,BCOS,BOX,Boulder County Open Space,p,,19,, ,,,,,,2,N,71,W,12
Heil PA7 Unit 1 & PA10 U1,113,BCOS,BOX,Boulder County Open Space,p,,300,,16240.8,101,201,80,,,3,N,71,W,36
Heil Geer Meadows RX,114,BCOS,BOX,Boulder County Open Space,b,22,,, ,,,,,,1,N,71,W,28
Hall PA7 Unit 4,301,BCOS,BOX,Boulder County Open Space,b,100,,66, ,,,,40.13,-105.19,3,N,71,W,15
North Godiva Pile Burn,169,BLM,CRD,Craig District Office,p,,500,, ,,,,0,0,8,N,89,W,10
Deer Valley,182,BLM,CRD,Craig District Office,b,500,,, ,,,,0,0,7,N,101,W,2
Long Mt,196,BLM,CRD,Craig District Office,b,750,,, ,,,,0,0,11,N,89,W,11
Bears Ears,316,BLM,CRD,Craig District Office,b,400,,30, ,,,,0,0,9,N,100,W,11
Seven Springs,317,BLM,CRD,Craig District Office,b,481,,, ,,,,0,0,8,N,102,W,36
Thompson Piles,102,BLM,GJD,Grand Junction District,p,,350,,17646.99879,325,57.54,94.37,0,0,14,S,101,W,12
Mee Canyon Piles,148,BLM,GJD,Grand Junction District,p,,350,,14797.2,66,236,95,0,0,10,S,104,W,25
Battlements,216,BLM,GJD,Grand Junction District,b,350,,300, ,,,,0,0,9,S,94,W,4
Roan Plateau,295,BLM,GJD,Grand Junction District,b,1435,,40, ,,,,0,0,5,S,94,W,30
Snyder Flats,341,BLM,GJD,Grand Junction District,p,,500,,51566,230,236,95,38.64,-106.14,14,S,101,W,28
Sky Legend Piles,55,BLM,GWD,Glenwood Field Office,p,,500,,25600.54,173,151,98,0,0,5,S,85,W,7
Crown Piles,95,BLM,GWD,Glenwood Field Office,p,,200,,53714.01,259,223,93,0,0,8,S,87,W,15
Deer Pen RX,194,BLM,GWD,Glenwood Field Office,b,600,,72, ,,,,0,0,2,S,85,W,34
East Sopris Piles,303,BLM,GWD,Glenwood Field Office,p,,550,,34171.49948,175,209,93.43,0,0,8,S,86,W,29
North Carbondale Piles,305,BLM,GWD,Glenwood Field Office,p,,600,, ,,,,0,0,7,S,88,W,23
Gore Lakes Fuel Reduction Project,77,BLM,KRD,Kremmling Field Office,p,,2500,, ,,,,0,0,2,N,82,W,31
Independence Mountain Piles,107,BLM,KRD,Kremmling Field Office,p,,500,,465375,365,1500,85,0,0,11,N,81,W,14
Fisher Draw Rx,108,BLM,KRD,Kremmling Field Office,b,1506,,, ,,,,0,0,11,N,80,W,29
Dry Gulch Rx,135,BLM,KRD,Kremmling Field Office,b,1300,,, ,,,,39.55,-106.35,,,,,
Willow Creek,389,BLM,KRD,Kremmling Field Office,p,,8,, ,,,,40.85,-105.58,,,,,
Little Buffalo Creek Piles,390,BLM,KRD,Kremmling Field Office,p,,1,, ,,,,0,0,6,N,80,W,36
Blanca Wetlands Rx,127,BLM,LJD,La Jara Field Office,b,200,,145, ,,,,0,0,38,N,11,E,1
Powderhorn,162,BLM,MRD,Gunnison Field Office,b,400,,10, ,,,,0,0,46,N,2,W,16
Flanders,192,BLM,MRD,Gunnison Field Office,b,260,,, ,,,,0,0,49,N,16,W,29
Dry Park,193,BLM,MRD,Gunnison Field Office,b,776,,144, ,,,,0,0,46,N,13,W,7
Gold Basin,250,BLM,MRD,Gunnison Field Office,b,200,,41, ,,,,0,0,48,N,1,E,14
Fire Mountain,313,BLM,MRD,Gunnison Field Office,p,,800,, ,,,,0,0,13,S,92,W,25
Turkey Gulch Piles,27,BLM,RGD,"Royal Gorge Field Office, Canon City",p,,4600,,124582.4909,1175,126,84.15,0,0,20,S,73,W,9
High Park Piles,28,BLM,RGD,"Royal Gorge Field Office, Canon City",p,,500,,19177.99862,240,86,92.92,0,0,16,S,71,W,3
Stoney Face,29,BLM,RGD,"Royal Gorge Field Office, Canon City",p,,4687,,108816.1717,590,221.31,83.34,0,0,51,N,11,E,33
Sand Gulch Broadcast,30,BLM,RGD,"Royal Gorge Field Office, Canon City",b,175,,147, ,,,,38.29,-105.46,49,N,11,E,16
Booger Red,31,BLM,RGD,"Royal Gorge Field Office, Canon City",b,450,,, ,,,,0,0,15,S,70,W,30
Rosita Piles,115,BLM,RGD,"Royal Gorge Field Office, Canon City",p,,75,,5567.5,50,131,85,0,0,22,S,71,W,19
Sand Gulch Piles,116,BLM,RGD,"Royal Gorge Field Office, Canon City",p,,200,,2850,12,250,95,38.49,-105.76,,,,,
Pole Gulch,143,BLM,RGD,"Royal Gorge Field Office, Canon City",p,,200,,36260,200,196,92.5,38.33,-105.77,47,N,11,E,8
Lakemoor West,325,BLM,RGD,"Royal Gorge Field Office, Canon City",b,132,,, ,,,,38.75,-105.27,15,S,71,W,13
Deer Haven,343,BLM,RGD,"Royal Gorge Field Office, Canon City",b,383,,100, ,,,,38.62,-105.37,,,,,
Hole In The Rock,344,BLM,RGD,"Royal Gorge Field Office, Canon City",p,,7000,,190855,1025,196,95,38.67,-105.27,,,,,
Trail Gulch,345,BLM,RGD,"Royal Gorge Field Office, Canon City",b,800,,, ,,,,38.67,-105.27,,,,,
Buffalo Gulch Piles,396,BLM,RGD,"Royal Gorge Field Office, Canon City",p,,12,,21489,12,1885,95,38.9,-105.71,,,,,
