BurnName,ShortPermitNum,AgencyGroup,AgencyID,AdministrativeUnit,PileBcst,Acres Max Permitted ,Piles Max Permitted,Lat,Lon,Actual Acres Burned,Act Pile Vol Consumed,ActPiles,PileActVolume,PilePctCons
Deer Valley Piles,142,BLM,CRD,,p,,700,40.58,-108.73,,50652,450,134,84
North Carbondale,115,BLM,CVD,"Colo River Valley Office (Glenwood), BLM",p,,1000,0,0,,92520.12,476,209,93
East Sopris Piles,117,BLM,CVD,"Colo River Valley Office (Glenwood), BLM",p,,700,0,0,,54204.15,273,209,95
Panorama Piles,267,BLM,CVD,"Colo River Valley Office (Glenwood), BLM",p,,1000,0,0,,7847,70,118,95
Mee Canyon,77,BLM,GJD,"Grand Junction Office, BLM",p,,200,0,0,,6726,30,236,95
Roan Plateau,218,BLM,GJD,"Grand Junction Office, BLM",b,1435,,0,0,,0,,,
Blue Mesa,136,BLM,GND,"Gunnison Office, BLM",p,,800,0,0,,53694,120,471,95
Yellowstone Mill,170,BLM,GND,"Gunnison Office, BLM",p,,40,38.01,-107.47,,15684.3,37,471,90
Indian Creek - Gunnison,194,BLM,GND,"Gunnison Office, BLM",b,400,,0,0,227,0,,,
Gold Basin Broadcast,206,BLM,GND,"Gunnison Office, BLM",b,5000,,38.33,-106.83,,0,,,
Crystal Creek Piles,291,BLM,GND,"Gunnison Office, BLM",p,,100,38.16,-107.06,,19116,90,236,90
Hogback,62,BLM,KRD,"Kremmling Office, BLM",p,,21,0,0,,125580,21,5980,100
Gore Lakes,63,BLM,KRD,"Kremmling Office, BLM",p,,2500,0,0,,6056.25,75,85,95
Reed Ck,65,BLM,KRD,"Kremmling Office, BLM",p,,41,0,0,,229222.8,41,6212,90
Fisher Draw,173,BLM,KRD,"Kremmling Office, BLM",b,1500,,0,0,,0,,,
Mule Creek Piles,216,BLM,KRD,"Kremmling Office, BLM",p,,160,0,0,,166.6,2,85,98
Walden Hollow,229,BLM,KRD,"Kremmling Office, BLM",p,,50,0,0,,0,,,
Dry Gulch,230,BLM,KRD,"Kremmling Office, BLM",b,1300,,39.91,-106.59,,0,,,
Independence Mtn Piles,243,BLM,KRD,"Kremmling Office, BLM",p,,1000,0,0,,410328.75,325,1329,95
Blanca Wetlands,253,BLM,LJD,"La Jara Office, BLM",b,120,,0,0,,0,,,
Deer Haven,1,BLM,RGD,"Royal Gorge Office (Canon City), BLM",b,380,,38.62,-105.37,,0,,,
High Park,58,BLM,RGD,"Royal Gorge Office (Canon City), BLM",p,,500,0,0,,13932,180,86,90
Hole in the Rock,59,BLM,RGD,"Royal Gorge Office (Canon City), BLM",p,,7000,38.67,-105.27,,0,,,
McCoy Gulch,60,BLM,RGD,"Royal Gorge Office (Canon City), BLM",p,,100,38.37,-105.64,,4037.5,50,85,95
Texas Ck,66,BLM,RGD,"Royal Gorge Office (Canon City), BLM",p,,50,38.38,-105.58,,1615,20,85,95
Antelope,67,BLM,RGD,"Royal Gorge Office (Canon City), BLM",p,,50,38.67,-105.55,,25136,10,3142,80
Jack Hall,175,BLM,RGD,"Royal Gorge Office (Canon City), BLM",p,,35,0,0,,0,,,
Poverty,176,BLM,RGD,"Royal Gorge Office (Canon City), BLM",p,,550,38.39,-105.46,,38760,480,85,95
Indian Wells,177,BLM,RGD,"Royal Gorge Office (Canon City), BLM",p,,50,38.37,-105.48,,0,,,
Hat Springs,233,BLM,SGD,"Saguache Office, BLM",b,600,,0,0,,0,,,
Baxter Peak Unit 2,303,BLM,SGD,"Saguache Office, BLM",p,,400,37.68,-106.65,,15139.2,320,57,83
Disappointment Tamarisk,129,BLM,TRD,"Tres Rios Office (4 Corners), BLM",p,,500,38.02,-108.78,,63996.12,177,393,92
West Rim Pines,217,BLM,TRD,"Tres Rios Office (4 Corners), BLM",b,425,,37.91,-108.84,,0,,,
"Meadows, The",86,BLM,UPD,"Uncompaghre Office (Montrose), BLM",b,150,,0,0,,0,,,
