Burn Date,Air District,County,Air Basin,Acres Requested,Acres Burned,Latitude,Longitude,Legal Location,Agency,Burn Unit,Burn Type,Fuel Type,Total Tons
1/9/2015,Colusa County APCD,Colusa,Sacramento Valley,5,4,39.299,-122.665,UNK,US Forest Service,Mill Site Prep Unit 8,Hand Pile,Slash,1260
1/12/2015,Placer County APCD,Placer,Mountain Counties,28.6,28.6,39.154,-120.635,UNK,Sierra Pacific Industries,09-0802,Machine Pile,Slash,343.2
1/12/2015,Placer County APCD,Placer,Mountain Counties,28.6,28.6,39.154,-120.635,UNK,Sierra Pacific Industries,09-0802,Machine Pile,Slash,343.2
1/12/2015,Placer County APCD,Placer,Mountain Counties,17.8,17.8,39.158,-120.633,UNK,Sierra Pacific Industries,09-1004,Machine Pile,Slash,213.6
1/12/2015,Placer County APCD,Placer,Mountain Counties,21.2,21.2,39.161,-120.629,UNK,Sierra Pacific Industries,10-0106,Machine Pile,Slash,254.4
1/12/2015,Placer County APCD,Placer,Mountain Counties,36.8,36.8,39.165,-120.629,UNK,Sierra Pacific Industries,10-0108,Machine Pile,Slash,441.6
1/12/2015,Placer County APCD,Placer,Mountain Counties,42,42,39.156,-120.627,UNK,Sierra Pacific Industries,10-0303,Machine Pile,Slash,504
1/12/2015,Placer County APCD,Placer,Mountain Counties,27,27,39.162,-120.624,UNK,Sierra Pacific Industries,10-0407,Machine Pile,Slash,324
1/12/2015,Placer County APCD,Placer,Mountain Counties,8.1,8.1,39.165,-120.622,UNK,Sierra Pacific Industries,10-0510,Machine Pile,Slash,97.2
1/12/2015,Placer County APCD,Placer,Mountain Counties,42.6,42.6,39.104,-120.666,UNK,Sierra Pacific Industries,31-0707,Machine Pile,Slash,511.2
1/12/2015,El Dorado County AQMD,El Dorado,Mountain Counties,100,70,38.669,-120.237,UNK,US Forest Service,Alder,Machine Pile,Slash,UNK
1/12/2015,Northern Sierra AQMD,Plumas,Mountain Counties,25,10,39.922,-120.902,UNK,US Forest Service,American Valley Unit 4a,Hand Pile,Slash,100
1/12/2015,Great Basin Unified APCD,Inyo,Great Basin Valleys,60,60,36.89,-118.234,UNK,Individual,Division A,Broadcast,Natural,300
1/12/2015,Great Basin Unified APCD,Inyo,Great Basin Valleys,154,25,36.887,-118.233,UNK,Individual,Division B,Broadcast,Natural,125
