DB_REG_ID,BURN_ID,REG_TYPE,ORG_NAME,BURN_NAME,OWNERSHIP,YEAR,R_FUEL_CAT,R_FUEL_TYPE,R_BURN_START,R_BURN_END,ELEVATION_FT,R_LATITUDE,R_LONGITUDE,COUNTY,R_DURATION_DAYS,R_TOTAL_AREA_ACRES,R_MAX_DAILY_AREA_ACRES,R_TOTAL_VOLUME_CU_FT,R_MAX_DAILY_VOLUME_CU_FT,R_REG_WILDLAND_FIRE_USE,R_COMMENTS,ACI_REG_DATE,R_VENTILATION_CATEGORIES,R_BROADCAST_WAIVER_TYPE,R_NOTIFICATION_PLAN,R_ERTS,R_VISUAL_MONITORING,R_EDUCATION_TYPES,R_EQUIPMENT_TYPES,R_P_AVERAGE_VOLUME,R_P_CLEAN_VOLUME,R_P_CRANE_VOLUME,R_P_TRACTOR_VOLUME,R_FC_ALFALFA_AREA,R_FC_ALFALFA_LOAD,R_FC_AVG_FIELD_CROPS_AREA,R_FC_AVG_FIELD_CROPS_LOAD,R_FC_AVG_ORCHARD_CROPS_AREA,R_FC_AVG_ORCHARD_CROPS_LOAD,R_FC_BARLEY_AREA,R_FC_BARLEY_LOAD,R_FC_CORN_AREA,R_FC_CORN_LOAD,R_FC_COTTON_AREA,R_FC_COTTON_LOAD,R_FC_DITCHES_AREA,R_FC_DITCHES_LOAD,R_FC_GRASS_AREA,R_FC_GRASS_LOAD,R_FC_HAY_AREA,R_FC_HAY_LOAD,R_FC_OATS_AREA,R_FC_OATS_LOAD,R_FC_PEANUTS_AREA,R_FC_PEANUTS_LOAD,R_FC_PECAN_AREA,R_FC_PECAN_LOAD,R_FC_PISTACHIO_AREA,R_FC_PISTACHIO_LOAD,R_FC_SORGHUM_AREA,R_FC_SORGHUM_LOAD,R_FC_WEEDS_AREA,R_FC_WEEDS_LOAD,R_FC_WHEAT_AREA,R_FC_WHEAT_LOAD,R_F_BACKING_PINE_AREA,R_F_BACKING_PINE_LOAD,R_F_DOUGLAS_FIR_AREA,R_F_DOUGLAS_FIR_LOAD,R_F_HARDWOOD_AREA,R_F_HARDWOOD_LOAD,R_F_HEADING_PINE_AREA,R_F_HEADING_PINE_LOAD,R_F_JUNIPER_AREA,R_F_JUNIPER_LOAD,R_F_MIXED_CONIFER_AREA,R_F_MIXED_CONIFER_LOAD,R_F_PONDEROSA_PINE_AREA,R_F_PONDEROSA_PINE_LOAD,R_G_GRASS_AREA,R_G_GRASS_LOAD,R_S_CHAPARRAL_AREA,R_S_CHAPARRAL_LOAD,R_S_HEADINGCHAPARRAL_AREA,R_S_HEADINGCHAPARRAL_LOAD,R_S_SAGEBRUSH_AREA,R_S_SAGEBRUSH_LOAD,T_BURN_DAYS,T_WILDLAND_FIRE_USE,T_TOTAL_AREA_ACRES,T_TOTAL_VOLUME_CU_FT,T_COMMENTS,T_FC_ALFALFA_AREA,T_FC_ALFALFA_EA,T_FC_ALFALFA_ERTS,T_FC_ALFALFA_LOAD,T_FC_ALFALFA_PCT,T_FC_AVG_FIELD_CROPS_AREA,T_FC_AVG_FIELD_CROPS_EA,T_FC_AVG_FIELD_CROPS_ERTS,T_FC_AVG_FIELD_CROPS_LOAD,T_FC_AVG_FIELD_CROPS_PCT,T_FC_AVG_ORCHARD_CROPS_AREA,T_FC_AVG_ORCHARD_CROPS_EA,T_FC_AVG_ORCHARD_CROPS_ERTS,T_FC_AVG_ORCHARD_CROPS_LOAD,T_FC_AVG_ORCHARD_CROPS_PCT,T_FC_BARLEY_AREA,T_FC_BARLEY_EA,T_FC_BARLEY_ERTS,T_FC_BARLEY_LOAD,T_FC_BARLEY_PCT,T_FC_CORN_AREA,T_FC_CORN_EA,T_FC_CORN_ERTS,T_FC_CORN_LOAD,T_FC_CORN_PCT,T_FC_COTTON_AREA,T_FC_COTTON_EA,T_FC_COTTON_ERTS,T_FC_COTTON_LOAD,T_FC_COTTON_PCT,T_FC_DITCHES_AREA,T_FC_DITCHES_EA,T_FC_DITCHES_ERTS,T_FC_DITCHES_LOAD,T_FC_DITCHES_PCT,T_FC_GRASS_AREA,T_FC_GRASS_EA,T_FC_GRASS_ERTS,T_FC_GRASS_LOAD,T_FC_GRASS_PCT,T_FC_HAY_AREA,T_FC_HAY_EA,T_FC_HAY_ERTS,T_FC_HAY_LOAD,T_FC_HAY_PCT,T_FC_OATS_AREA,T_FC_OATS_EA,T_FC_OATS_ERTS,T_FC_OATS_LOAD,T_FC_OATS_PCT,T_FC_PEANUTS_AREA,T_FC_PEANUTS_EA,T_FC_PEANUTS_ERTS,T_FC_PEANUTS_LOAD,T_FC_PEANUTS_PCT,T_FC_PECAN_AREA,T_FC_PECAN_EA,T_FC_PECAN_ERTS,T_FC_PECAN_LOAD,T_FC_PECAN_PCT,T_FC_PISTACHIO_AREA,T_FC_PISTACHIO_EA,T_FC_PISTACHIO_ERTS,T_FC_PISTACHIO_LOAD,T_FC_PISTACHIO_PCT,T_FC_SORGHUM_AREA,T_FC_SORGHUM_EA,T_FC_SORGHUM_ERTS,T_FC_SORGHUM_LOAD,T_FC_SORGHUM_PCT,T_FC_WEEDS_AREA,T_FC_WEEDS_EA,T_FC_WEEDS_ERTS,T_FC_WEEDS_LOAD,T_FC_WEEDS_PCT,T_FC_WHEAT_AREA,T_FC_WHEAT_EA,T_FC_WHEAT_ERTS,T_FC_WHEAT_LOAD,T_FC_WHEAT_PCT,T_F_BACKING_PINE_AREA,T_F_BACKING_PINE_EA,T_F_BACKING_PINE_ERTS,T_F_BACKING_PINE_LOAD,T_F_BACKING_PINE_PCT,T_F_DOUGLAS_FIR_AREA,T_F_DOUGLAS_FIR_EA,T_F_DOUGLAS_FIR_ERTS,T_F_DOUGLAS_FIR_LOAD,T_F_DOUGLAS_FIR_PCT,T_F_HARDWOOD_AREA,T_F_HARDWOOD_EA,T_F_HARDWOOD_ERTS,T_F_HARDWOOD_LOAD,T_F_HARDWOOD_PCT,T_F_HEADING_PINE_AREA,T_F_HEADING_PINE_EA,T_F_HEADING_PINE_ERTS,T_F_HEADING_PINE_LOAD,T_F_HEADING_PINE_PCT,T_F_JUNIPER_AREA,T_F_JUNIPER_EA,T_F_JUNIPER_ERTS,T_F_JUNIPER_LOAD,T_F_JUNIPER_PCT,T_F_MIXED_CONIFER_AREA,T_F_MIXED_CONIFER_EA,T_F_MIXED_CONIFER_ERTS,T_F_MIXED_CONIFER_LOAD,T_F_MIXED_CONIFER_PCT,T_F_PONDEROSA_PINE_AREA,T_F_PONDEROSA_PINE_EA,T_F_PONDEROSA_PINE_ERTS,T_F_PONDEROSA_PINE_LOAD,T_F_PONDEROSA_PINE_PCT,T_G_GRASS_AREA,T_G_GRASS_EA,T_G_GRASS_ERTS,T_G_GRASS_LOAD,T_G_GRASS_PCT,T_S_CHAPARRAL_AREA,T_S_CHAPARRAL_EA,T_S_CHAPARRAL_ERTS,T_S_CHAPARRAL_LOAD,T_S_CHAPARRAL_PCT,T_S_HEADINGCHAPARRAL_AREA,T_S_HEADINGCHAPARRAL_EA,T_S_HEADINGCHAPARRAL_ERTS,T_S_HEADINGCHAPARRAL_LOAD,T_S_HEADINGCHAPARRAL_PCT,T_S_SAGEBRUSH_AREA,T_S_SAGEBRUSH_EA,T_S_SAGEBRUSH_ERTS,T_S_SAGEBRUSH_LOAD,T_S_SAGEBRUSH_PCT
1006122,05FIIF0141,SMPII,,Bull,Federal,2005,Forests,"Forest, Forest, Forest, Forest, Grass",6/1/2005,11/30/2005,7500,33.4107,-108.2717,Sierra,90,163250,50000,,,No,This is a WFU. Ignition natural. Hand ignition will only take place to protect resources and improvement. Fire started on 5/28/05. On 6/3/05 fire was 25 acres and will continue to grow until signicant precipitation is received on fire. Total acres is for projected fire growth. This is not the MMA. MMa is establiched during the WFIP III. The bull is manageed as a WFIP I.,,"Fair, Good, Poor, Very Good",,Door to door visits have been made and flyers posted,"c - mosaic, n - burn before litter fall, q - backing fire, r - dry conditions",Yes,"Federal training, Self-eduction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3185,17,2,3.5,,,74969,7.5,,,49000,6.5,36094,1.5,,,,,,,80,Yes,77000,0,The Bull Wildland Fire Use Fire became part of the Black Range Complex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1000,#NAME?,1.5,50,,,,,,2000,2000,#NAME?,1,45,30000,30000,#NAME?,3.5,65,44000,44000,#NAME?,3,70,,,,,,,,,,,,,,,,,,,,
1006123,05FIIF0142,SMPII,,Big Hatchet,Federal,2005,Forests,"Forest, Grass",6/1/2005,8/31/2005,7500,31.6684,-108.4044,Hidalgo,2,2000,2000,,,No,,,"Excellent, Fair, Good, Very Good",,Closest community is Animas approximately 20 miles to the north. Will do a press release,"c - mosaic, l - burn before precipitation, o - burn before green-up, r - dry conditions",Yes,"Federal training, Self-eduction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,3.5,,,,,500,1.5,,,,,,,1,No,1200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,80,r - dry conditions,3.5,80,,,,,,,,,,,500,100,r - dry conditions,2,100,,,,,,,,,,,,,,,
1006124,05FIIF0143,SMPII,,Continental,Federal,2005,Forests,"Forest, Forest, Forest, Forest, Grass",6/1/2005,8/31/2005,7500,33.47972,-107.84333,Sierra,90,75150,20000,,,No,Fire currently 10 acres. Started on 5/28/05,,"Excellent, Poor, Very Good",,Door to door visits have been made and flyers have been posted,"c - mosaic, n - burn before litter fall, q - backing fire, r - dry conditions",Yes,"Federal training, Self-eduction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,733,3.5,,,36605,7.5,640,17,29994,6.5,7178,1.5,,,,,,,60,Yes,4260,0,This Wild Land Fire Use Fire became part of the Black Range Complex.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,#NAME?,2.5,50,,,,,,260,260,#NAME?,1.5,48,400,400,#NAME?,1.5,60,3500,3500,#NAME?,3.5,72,,,,,,,,,,,,,,,,,,,,
1006126,05FIIF0145,SMPII,,Johnson,Federal,2005,Forests,"Forest, Forest, Forest, Grass",6/1/2005,11/30/2005,8200,34.04683,-108.88028,Catron,0,100000,,,,No,"When stage III of the Wildland Fire Use is completed, we will notify NMED of the exact MMA.  If there are any questions or comments please feel free to contact Timothy Hendricks or Dennis Fahl at 505-773-4678.",,"Excellent, Fair, Good, Poor, Very Good",,"News Releases are being prepared right now for immediate posting.  News releases will be posted in the Quemado Post Office, County Store, and both Gas Stations.  Catron County Sheriff's Office has been notified and also Quemado Volunteer Fire Department.",,Yes,Self-eduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,40,,,,,15000,12,,,70000,25,10000,0.2,,,,,,,79,Yes,10611,0,No ERT's were used due to wildland fire use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,600,#NAME?,31,85,,,,,,,,,,,3060,3060,#NAME?,12,75,,,,,,6001,6001,#NAME?,15,90,950,950,#NAME?,,95,,,,,,,,,,,,,,,
1006127,05FIIF0146,SMPII,,Stable Mesa,Federal,2005,Forests,"Forest, Forest, Forest",3/1/2005,2/28/2006,7900,35.82,-106.7508,Sandoval,7,6200,900,,,No,Will perform visual smoke monitoring using New Mexico Smoke Management Program Smoke Visual Monitoring Form.,,"Excellent, Fair, Good, Very Good",Burning under Fair to Poor ventilation categories,"Utilize the Forest PAO, Santa Fe Dispatch, and District personnel to notify various home owner associations, public new sources, and post info in public places for the public to view.","c - mosaic, j - high moisture in large veg, o - burn before green-up, q - backing fire, r - dry conditions, t - aerial/mass ignition, v - high moisture in non-target vegs",Yes,Federal training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,2,930,3,4650,13,,,,,,,,,3,No,4500,0,Total project area is 6200 acres.  We only finished up 4500 acres in 2005.  We plan on burning the rest in the near future.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,620, - ,2,30,380,380, - ,3,65,3500,3500, - ,13,65,,,,,,,,,,,,,,,,,,,,
1006128,05FIIF0147,SMPII,,Ring,Federal,2005,Forests,Forest,6/1/2005,8/31/2005,8500,5.89297,-82.23228,Catron,30,292,,,,No,Will monitor smoke thru Lookouts and areiol observation.,,"Excellent, Fair, Good, Poor, Very Good",,Local media,,Yes,"Federal training, Self-eduction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,Yes,292,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292,292,c - mosaic,4.5,100,,,,,,,,,,,,,,,,,,,,
1006129,05FIIF0148,SMPII,,Jones,Federal,2005,Forests,"Forest, Forest, Forest",6/1/2005,2/28/2006,8200,,,Catron,0,10000,,,,No,"Current size is 22 acres.  If there are any questions or comments, please contact Timothy Hendricks or Dennis Fahl at 505-773-4678.",,"Excellent, Fair, Good, Poor, Very Good",,Public notices will be posted in the villages of Quemado and Luna along with notification of county sherrif and volunteer fire departments.,,Yes,Self-eduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,25,800,8,,,,,,,8000,10,,,,,,,,,42,Yes,114,0,No ERT's were used due to wildland fire use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,24,#NAME?,8,80,,,,,,,,,,,,,,,,90,90,#NAME?,10,85,,,,,,,,,,,,,,,,,,,,
1006130,05FIIF0149,SMPII,,Hay,Federal,2005,Forests,"Forest, Forest",6/1/2005,2/28/2006,9200,34.00292,-108.98817,Catron,0,5000,,,,No,Fire size is currently 10 acres.  For additional information please contact Timothy Hendricks or Dennis Fahl at 505 773-4678.,,"Excellent, Fair, Good, Poor, Very Good",,Public notices will be posted in the villages of Luna and Quemado.  Catron County Sheriff will be notified along with volunteer fire departments.,,Yes,Self-eduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,32,3000,10,,,,,,,,,20,Yes,22,0,This fire was a Wildland Fire Use so no ERT's were used.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,#NAME?,25,75,18,18,#NAME?,10,80,,,,,,,,,,,,,,,,,,,,
1006132,05FIIF0151,SMPII,Valles Caldera National Preserve,Valle Toledo,Federal,2005,Forests,"Forest, Grass",9/1/2005,11/30/2005,8900,35.95843,-106.46728,Sandoval,2,1800,1500,,,No,,,"Excellent, Fair, Good, Very Good",Burning under Fair to Poor ventilation categories,"Use of local newspapers - Cuba News, Jemez Thunder, Los Alamos Monitor, Alburquerque Journal, distribution of flyers, personal contacts.","c - mosaic, g - grazing, k - moist litter and/or duff, l - burn before precipitation, q - backing fire, r - dry conditions, t - aerial/mass ignition",Yes,Federal training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,2.7,,,,,,,,,,,,,1600,1.25,,,,,,,2,No,1797,0,+ = Stopped ignition by 1500 MST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,1562,"+ - other, c - mosaic, q - backing fire, r - dry conditions, t - aerial/mass ignition",4,70,1562,1562,"+ - other, c - mosaic, q - backing fire, r - dry conditions, t - aerial/mass ignition",,70,,,,,,,,,,,,,,,
1006133,05FIIF0152,SMPII,,Bootleg WFU,Federal,2005,Forests,"Forest, Forest, Forest, Forest",6/1/2005,8/31/2005,7758,32.93083,-108.11111,Grant,60,5000,,,,No,,,"Excellent, Fair, Good, Poor, Very Good",,"News releases (newspaper), Campground/Recreational Facility/Community Personal","c - mosaic, l - burn before precipitation, q - backing fire, v - high moisture in non-target vegs",No,Self-eduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,15,,,,,,,500,5,500,20,2000,10,,,,,,,,,20,Yes,85,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,85,"c - mosaic, l - burn before precipitation, q - backing fire, v - high moisture in non-target vegs",12,55,,,,,,,,,,,,,,,,,,,,
1006134,05FIIF0153,SMPII,,Slane,Federal,2005,Forests,"Forest, Shrub",9/1/2005,11/30/2005,6200,36.79917,-107.85806,San Juan,4,496,200,,,No,,,"Excellent, Fair, Good, Very Good",Burning under Fair to Poor ventilation categories,"radio, newspaper, TV","b - isolate vegs, c - mosaic, d - removal, j - high moisture in large veg, l - burn before precipitation, v - high moisture in non-target vegs",Yes,Federal training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,12,,,,,,,,,,,220,2.5,4,No,496,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,330,"a - burn concentrations, b - isolate vegs, f - utilization, k - moist litter and/or duff",12,70,,,,,,,,,,,,,,,,,,,,,,,,,,166,166,"c - mosaic, v - high moisture in non-target vegs",2.5,35
1006135,05FIIF0154,SMPII,,Upper Potter,Federal,2005,Forests,"Forest, Shrub",9/1/2005,11/30/2005,6300,36.79528,-107.90361,San Juan,2,331,175,,,No,,,"Excellent, Fair, Good, Very Good",Burning under Fair to Poor ventilation categories,"newspaper, radio, TV","b - isolate vegs, c - mosaic, d - removal, j - high moisture in large veg, l - burn before precipitation, v - high moisture in non-target vegs",Yes,Federal training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,12,,,,,,,,,,,110,2.5,3,No,331,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,221,"b - isolate vegs, f - utilization, k - moist litter and/or duff",12,80,,,,,,,,,,,,,,,,,,,,,,,,,,110,110,"c - mosaic, v - high moisture in non-target vegs",2.5,40
1006137,05FIIF0156,SMPII,,Chaperito Rx Burn,Federal,2005,Forests,"Forest, Forest",6/1/2005,11/30/2005,8600,35.61917,-105.63445,San Miguel,2,120,60,,,No,"Project area totals 120 acres.  On Ventilation Category of ""fair"", operations will electively employ the use of the blanket waiver.",,"Excellent, Fair, Good, Very Good",Burning under Fair to Poor ventilation categories,"News releases will be in the local newspapers and TV stations 7-14 days prior to burning.  Also, notices regarding the project will be posted in local community establishments and Post offices.","b - isolate vegs, c - mosaic, l - burn before precipitation, q - backing fire, v - high moisture in non-target vegs",Yes,"Federal training, Self-eduction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,,,110,10,,,,,,,,,2,No,80,0,NOTE:  Only 80 acres of the 120 were accomplished due to heritage resource concerns.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,80, - ,10,90,,,,,,,,,,,,,,,,,,,,
1006138,05FIIF0157,SMPII,,Sebadilla,Federal,2005,Forests,"Forest, Forest, Forest, Forest, Forest, Grass, Shrub",6/1/2005,11/30/2005,8000,35.55806,-105.51444,San Miguel,4,657,600,,,No,,,"Excellent, Fair, Good, Very Good",,"notify public via: telephone,e-mails,mass-media, posting notice at  public areas(ex. post office and local retail establishments","b - isolate vegs, c - mosaic, g - grazing, h - site conversion, o - burn before green-up, q - backing fire, t - aerial/mass ignition",Yes,"Federal training, Self-eduction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.3,1,77.3,1,,,38.6,0.5,77.3,1,309.20001,4,38.7,0.5,,,,,38.6,0.5,5,No,657,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.3,58, - ,1,75,77.3,77.3, - ,1,100,,,,,,38.6,10, - ,,25,77.3,58, - ,1,75,309.29999,309.29999, - ,4,100,38.6,38.6, - ,,100,,,,,,,,,,,38.6,38.6, - ,,100
1006139,05FIIF0158,SMPII,,Dorado,Federal,2005,Forests,Forest,3/1/2005,11/30/2005,8400,3.13853,-73.08292,Rio Arriba,4,66,66,,,No,,,"Fair, Good, Very Good",,Notify closest communities of burning and Weather service and NMAQB days of burning.,"c - mosaic, j - high moisture in large veg, l - burn before precipitation, o - burn before green-up, v - high moisture in non-target vegs",Yes,"Federal training, Self-eduction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,3.75,,,,,,,,,1,No,66,0,ERT was burn before litter fall during September and dry conditions after monsoons season had passed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,66,"n - burn before litter fall, r - dry conditions",3.75,75,,,,,,,,,,,,,,,,,,,,
1006142,05FIIF0161,SMPII,,Spring Creek,Federal,2005,Forests,Forest,3/1/2005,2/28/2006,8600,36.61806,-106.14194,Rio Arriba,2,27,14,,,No,"SPRING AND FALL BURNS WILL GIVE US THE BEST OPPORTUNITY TO MEET OUR OBJECTIVES DURING THE BURN.OUR WINDS ARE GENERALLY OUT OF SW DISPERSING SMOKE INTO THE NORTH NORTH EAST. VISUAL MONITORS WILL USED TO DOCUMENT AND MONITOR WEATHER, SMOKE, & FIRE BEHAVIOR RELATED ITEMS.",,"Excellent, Fair, Good, Poor, Very Good",,"MAY IMPACT THE COMMUNITY OF CANON PLAZA. WILL NOTIFY LOCAL RESIDENCE/BUSINESS BY; FLYIER, AND POST NOTICES.","g - grazing, j - high moisture in large veg, l - burn before precipitation, n - burn before litter fall, o - burn before green-up, q - backing fire, r - dry conditions, s - rapid mop-up",Yes,"Federal training, Self-eduction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,14,,,,,,,,,1,No,27,0,Spring Creek was completed on 9/27/2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,27, - ,14,60,,,,,,,,,,,,,,,,,,,,
1006146,05FIIF0165,SMPII,,Capitan Slash,Federal,2005,Forests,"Forest, Grass",9/1/2005,11/30/2005,6800,33.7574,-105.6324,Lincoln,20,,,10508460,525422,No,"Burn area is pinon juniper woodlands that has recieved treatment since 1998.  Slash is from range improvement projects which include mechanically pushing trees into piles, watershed improvement projects which basically include that same treatment and or fuelwood utilazation.  Fuelwood permits were issued for pushed material in the piles to encourage utilization of larger material.  Fuelwood units were also set up to harvest green standing and slash is mechanically piled.  Other projects in the area include wildlife habitat improvement where selected windrows or group selection treatments created slash in concentrated areas to facilitate burning.  Objective is to utilize the existing burning window with substantial green-up in non targeted fuels (grass) to reduce the amount of existing slash.  Total project acres is approximately 3,875.",,"Excellent, Fair, Good, Very Good",,"Press release through agency channels, adjacent private residences notified,signage.",#NAME?,Yes,Federal training,Real Time,3677960,1576268,,5254229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,No,644,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644,644,"a - burn concentrations, g - grazing, l - burn before precipitation, p - burn piles or windows",2,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006147,05FIIF0166,SMPII,,october,Federal,2005,Forests,Forest,9/1/2005,11/30/2005,,33.44139,-108.7025,Catron,0,122,,,,No,The October Fire is currently 15-20 acres and is still in stage one. If it continues to grow we will establish an MMA and fuel loading calculations. The Fire is currently in Ponderosa Pine and may move into Mixed Conifer. We are anticipating some moisture the next few days and are expecting low fire activity and slow growth.,,"Excellent, Fair, Good, Poor, Very Good",,Public notice will be in the local newspaper and posted at the Post Office and local stores.,,Yes,Self-eduction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,Yes,122,0,Called out on 10/18/05 1800 hrs.  Final size 122 acres.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,26,"c - mosaic, l - burn before precipitation, q - backing fire",14,20,96,96,"c - mosaic, l - burn before precipitation, q - backing fire",8,40,,,,,,,,,,,,,,,,,,,,
1006149,05FIIF0168,SMPII,,North Chaparral,Federal,2005,Forests,"Forest, Forest",9/1/2005,2/28/2006,8500,35.9207,-106.7508,Sandoval,7,2000,300,,,No,"Hazardous fuels reduction project, restore fire back into fire adapted ecosystem, maintenance of silvicultural treatments, wildlife habitat improvement.",,"Excellent, Fair, Good, Very Good",Burning under Fair to Poor ventilation categories,"Contacts made by phone, press release in local newspapers.","a - burn concentrations, b - isolate vegs, q - backing fire",Yes,"Federal training, Self-eduction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,13,1000,13,,,,,,,,,5,No,1200,0,"I don't remember this date.......ACI Registration date........I'm submitting this while away from my office in Cuba, and don't have all my files with me.........",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1200,q - backing fire,8,90,,,,,,,,,,,,,,,,,,,,,,,,,
